data_type,timestamp,latitude,longitude,altitude,speed_kmh,satellites,speed_ms,relative_time_s,distance,gradient,acceleration,speed_smooth,speed_change,speed_change_rate,speed_change_pct,hard_brake_candidate,is_speed_peak,hard_brake_refined,hard_brake_final,hard_brake_filtered
0,1747221688000000,57.687256,11.981065,57.599998,12.530632,12,3.480731111111111,17.0,4.069689782056883,0.07371544664723208,-1.2866258333333338,12.963682857142846,-3.7805141999999954,-3.7805141999999954,-0.21305636923583238,True,False,False,True,True
0,1747221704000000,57.687363,11.982015,53.599998,11.51944,12,3.199844444444444,33.0,4.1063959335640146,-0.29222730087756005,-1.4918888888888886,11.718186057142844,-4.2089610285714265,-4.2089610285714265,-0.2486515304237886,True,False,False,True,True
0,1747221722000000,57.686874,11.982829,59.0,19.957151,12,5.543653055555556,51.0,5.044269667473929,0.11894645598923075,-1.4008322222222214,20.491320457142834,-4.504064942857141,-4.504064942857141,-0.17326401873069155,False,False,True,True,True
0,1747221731000000,57.686302,11.983386,57.099998,26.500269,12,7.361185833333333,60.0,8.04930149889572,-0.0869641918737959,-1.3931152777777784,26.64456548571426,-4.790119428571426,-4.790119428571426,-0.14768509209292932,False,False,True,True,True
0,1747221799000000,57.686623,11.986043,53.700001,25.24276,12,7.011877777777777,128.0,7.2183443788045025,-0.027707323106843006,-1.186308888888889,25.107987399999974,-4.10085757142857,-4.10085757142857,-0.13575022730286945,False,False,True,True,True
0,1747221895000000,57.695297,11.987329,12.6,11.51018,12,3.1972722222222223,224.0,3.794162742325838,-0.07906882766343845,-1.3025733333333327,11.399853714285703,-4.694185114285714,-4.694185114285714,-0.2746094800276066,True,False,True,True,True
0,1747221918000000,57.695499,11.987557,9.3,13.243652,12,3.6787922222222225,247.0,3.6037432149144144,0.0,-0.3544522222222213,11.79798079999999,-3.3025393142857116,-3.3025393142857116,-0.20512003903249237,True,False,False,True,True
0,1747222040000000,57.696453,11.987967,7.2,21.37208,12,5.936688888888889,369.0,6.382019974512596,-0.0313380404321399,-1.3272666666666666,21.28016797142855,-4.9894463999999985,-4.9894463999999985,-0.1829672518298476,False,False,True,True,True
0,1747222043000000,57.696568,11.987944,7.2,10.348976,12,2.8747155555555555,372.0,3.909416583435137,-0.025579264288108014,-1.089078888888889,10.553595542857131,-3.166655428571426,-3.166655428571426,-0.21512238036686893,True,False,False,True,True
0,1747222105000000,57.697609,11.996151,0.1,29.109737,12,8.086038055555555,434.0,8.96901267537118,0.06689699543491492,-3.323310277777777,30.0466362285714,-9.68913528571428,-9.68913528571428,-0.2378532411572562,True,False,True,True,True
0,1747222258000000,57.714634,11.994742,-3.2,61.232674,12,17.00907611111111,587.0,17.386492320825756,-0.04601273133406848,-1.5243000000000002,60.93836611428566,-5.535100628571428,-5.535100628571428,-0.08203373704905104,True,False,False,True,True
0,1747222309000000,57.720058,11.994196,1.2,42.308937,12,11.7524825,638.0,10.851941702164272,0.027644822303106276,-0.5031277777777774,42.28179351428567,-2.323202542857139,-2.323202542857139,-0.05094184286182547,False,False,True,True,True
